CLASS, ORIGINAL, ENCRYPTED, NOTE
"org.aviran.cookiebar2.CookieBar","CookieBar","+XYVUR0Pb",""
"org.aviran.cookiebar2.CookieBar","1.0","\x1c\x18\x19",""
"org.aviran.cookiebar2.annotations.LibraryDetail","N/A","6\x18+",""
"org.aviran.cookiebar2.annotations.LibraryDetail","0.0","\x1b\x18\x19",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedField","->","Ug",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedField",":","<",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethod",".","\x19",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethodArgument",".","\xa",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethodArgument","_","\xb",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler","Not an annotation: ","\x3%+W\x1a(Z\x1d+,.4""6,33\x7ff",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler","Missing value(s) for ","*GRSJPJ\x4[GS]N\x12^\x15\xdT^b\x11",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler",",","o",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler","Incompatible type(s) provided for ","d\xb\x1\xe\xd\x11\x3\x17\xd\x7\x12\xcG\x1d#\x1b\x11T!WO!$""*\x1e\x1a\x1c\x1cX *.\",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler",",","O",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationProtectionDescription","","","No string literals found"
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","newProxyInstance","rj}Wzx\x3\x5U{\x2\x4q\x7fux",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","getAnnotationsByType","""\x1f-x%$$(\x14&\x1a\x1f\x1d!n%~#\x19\xd",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","getDeclaredAnnotation","~{\xaXxu}q\x2sqMyxx|hznsq",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","getDeclaredAnnotationsByType","C@N\x1d=:B6F86\x12>==A-?386:\x8>\x18<2&",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","getAnnotationsByType","HES\x1fKJJN:L@ECG\x15K%I?3",""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","getDeclaredAnnotation","fcq@`]eYi[Y5a``dPbV[Y",""
