CLASS, METHOD, MODE, REQUESTED LEVEL, ACHIEVED LEVEL, CONSTRAINED
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedField","void <init>(java.lang.String, java.lang.String, java.lang.String)","fast",2,0,"JVM method size limit"
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedField","java.lang.String getClassName()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedField","java.lang.String getFieldName()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedField","java.lang.String getDescriptor()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedField","int hashCode()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedField","java.lang.String toString()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedField","boolean equals(java.lang.Object)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethod","void <init>(java.lang.String, java.lang.String, java.lang.String)","fast",2,0,"JVM method size limit"
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethod","java.lang.String getClassName()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethod","java.lang.String getMethodName()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethod","java.lang.String getMethodDescriptor()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethod","int hashCode()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethod","java.lang.String toString()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethod","boolean equals(java.lang.Object)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethodArgument","void <init>(com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethod, int)","fast",2,0,"JVM method size limit"
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethodArgument","com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethod getAnnotatedMethod()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethodArgument","int getArgumentIndex()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethodArgument","int hashCode()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethodArgument","java.lang.String toString()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotatedMethodArgument","boolean equals(java.lang.Object)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler","void <init>(java.lang.Class, java.util.Map)","fast",2,0,"JVM method size limit"
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler","java.util.Map normalize(java.lang.Class, java.util.Map)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler","java.lang.String join(java.util.Set, java.lang.String)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler","int calculateHashCode()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler","int calculateHashCode(java.lang.Object)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler","java.lang.Object invoke(java.lang.Object, java.lang.reflect.Method, java.lang.Object[])","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler","java.lang.Class annotationType()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationInvocationHandler","void <clinit>()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationProtectionDescription","void <init>()","fast",2,0,"JVM method size limit"
"com.arxan.guardit4j.annotationsobfuscation.AnnotationProtectionDescription","java.util.HashMap getMethodsAlgorithmsMap()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationProtectionDescription","java.util.HashMap getAnnotatedClasses()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationProtectionDescription","java.util.HashSet getAnnotatedFields()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationProtectionDescription","java.util.HashSet getAnnotatedMethods()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationProtectionDescription","java.util.HashSet getAnnotatedMethodArguments()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","void <init>()","fast",2,0,"JVM method size limit"
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","void addEmptyAnnotationProtectionDescription(java.lang.String)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","void insertStringEncryptionRecord(java.lang.String, java.lang.String, boolean, int, int, int)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","void insertAnnotatedClass(java.lang.String, java.lang.String, boolean, int, int, int)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","void insertAnnotatedField(java.lang.String, java.lang.String, java.lang.String, java.lang.String)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","void insertAnnotatedMethod(java.lang.String, java.lang.String, java.lang.String, java.lang.String)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","void insertAnnotatedMethodArgument(java.lang.String, java.lang.String, java.lang.String, java.lang.String, int)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.String decrypt(java.lang.String, int, int, int)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.String[] decrypt(java.lang.String[], int, int, int)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","boolean lastInChain()","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation decryptAnnotation(java.util.HashMap, java.lang.annotation.Annotation)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getAnnotation(java.lang.Class, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotations(java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotationsByType(java.lang.Class, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getDeclaredAnnotation(java.lang.Class, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotations(java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotationsByType(java.lang.Class, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getAnnotation(java.lang.reflect.Field, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotations(java.lang.reflect.Field)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotationsByType(java.lang.reflect.Field, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getDeclaredAnnotation(java.lang.reflect.Field, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotations(java.lang.reflect.Field)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotationsByType(java.lang.reflect.Field, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getAnnotation(java.lang.reflect.Method, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotations(java.lang.reflect.Method)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotationsByType(java.lang.reflect.Method, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getDeclaredAnnotation(java.lang.reflect.Method, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotations(java.lang.reflect.Method)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotationsByType(java.lang.reflect.Method, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[][] getParameterAnnotations(java.lang.reflect.Method)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getAnnotation(java.lang.reflect.Constructor, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotations(java.lang.reflect.Constructor)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotationsByType(java.lang.reflect.Constructor, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getDeclaredAnnotation(java.lang.reflect.Constructor, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotations(java.lang.reflect.Constructor)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotationsByType(java.lang.reflect.Constructor, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[][] getParameterAnnotations(java.lang.reflect.Constructor)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getAnnotationForExecutable(java.lang.Object, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotationsForExecutable(java.lang.Object)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotationsByTypeForExecutable(java.lang.Object, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getDeclaredAnnotationForExecutable(java.lang.Object, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotationsForExecutable(java.lang.Object)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotationsByTypeForExecutable(java.lang.Object, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[][] getParameterAnnotationsForExecutable(java.lang.Object)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getAnnotationForParameter(java.lang.Object, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotationsForParameter(java.lang.Object)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotationsByTypeForParameter(java.lang.Object, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getDeclaredAnnotationForParameter(java.lang.Object, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotationsForParameter(java.lang.Object)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotationsByTypeForParameter(java.lang.Object, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getUpdatedAnnotation(java.lang.annotation.Annotation)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getAnnotation(java.lang.reflect.AccessibleObject, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotations(java.lang.reflect.AccessibleObject)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getAnnotationsByType(java.lang.reflect.AccessibleObject, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation getDeclaredAnnotation(java.lang.reflect.AccessibleObject, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotations(java.lang.reflect.AccessibleObject)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.annotation.Annotation[] getDeclaredAnnotationsByType(java.lang.reflect.AccessibleObject, java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.String getDescriptorForClass(java.lang.Class)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.String getMethodDescriptor(java.lang.reflect.Method)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.String getConstructorDescriptor(java.lang.reflect.Constructor)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.String getExecutableDescriptor(java.lang.Object)","fast",2,2,""
"com.arxan.guardit4j.annotationsobfuscation.AnnotationsWrapper","java.lang.String getExecutableMethodName(java.lang.Object)","fast",2,2,""
